t,market_price,fair_value,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
187,0.7831314838011914,0.7022222222222223,0.6822222222222223,0.7222222222222223,sell,23.855114591831725,-33,-25.843338965439315,-1.98822437360759
188,0.7554855289767217,0.7054945054945055,0.6854945054945055,0.7254945054945056,sell,24.58060909732623,-34,-25.68650798520854,-1.105898887882308
189,0.7263480685429723,0.7086956521739131,0.688695652173913,0.7286956521739131,,24.58060909732623,-34,-24.695834330461057,-0.1152252331348258
190,0.7590492237604487,0.7086956521739131,0.688695652173913,0.7286956521739131,sell,25.309304749500143,-35,-26.566722831615703,-1.25741808211556
191,0.7915700769880922,0.7118279569892474,0.6918279569892474,0.7318279569892474,sell,26.04113270648939,-36,-28.49652277157132,-2.4553900650819322
192,0.7844011888730356,0.7148936170212766,0.6948936170212766,0.7348936170212766,sell,26.776026323510667,-37,-29.022843988302316,-2.2468176647916493
193,0.7735173830066641,0.7178947368421053,0.6978947368421052,0.7378947368421053,sell,27.51392106035277,-38,-29.393660554253234,-1.8797394939004626
194,0.8000703997011749,0.7208333333333333,0.7008333333333333,0.7408333333333333,sell,28.254754393686106,-39,-31.20274558834582,-2.947991194659714
195,0.7739259660752463,0.7237113402061855,0.7037113402061855,0.7437113402061856,sell,28.998465733892292,-40,-30.957038643009852,-1.95857290911756
196,0.7533351273923675,0.726530612244898,0.706530612244898,0.746530612244898,sell,29.74499634613719,-41,-30.886740223087067,-1.141743876949878
197,0.76453490691653,0.7292929292929293,0.7092929292929293,0.7492929292929293,sell,30.49428927543012,-42,-32.11046609049426,-1.6161768150641436
198,0.7544160591135117,0.732,0.712,0.752,sell,31.24628927543012,-43,-32.439890541881006,-1.1936012664508873
199,0.7525928188234348,0.7346534653465346,0.7146534653465346,0.7546534653465347,,31.24628927543012,-43,-32.361491209407696,-1.115201933977577
